time,r,g,b,shutter,gain
2020-07-29T21:30:57Z,155,162,195,3318,1.0
2020-07-29T21:41:01Z,165,162,190,4206,1.0
2020-07-29T21:51:06Z,168,165,192,6758,1.0
2020-07-29T22:01:11Z,154,170,211,8252,1.0
2020-07-29T22:11:15Z,133,160,211,8630,1.0
2020-07-29T22:21:21Z,142,159,204,12940,1.0
2020-07-29T22:31:25Z,120,144,197,32997,1.0
2020-07-29T22:41:30Z,120,149,203,33243,1.70703125
2020-07-29T22:51:35Z,122,151,207,33243,2.2265625
2020-07-29T23:01:39Z,72,96,158,33243,2.5859375
2020-07-29T23:11:44Z,48,66,118,33243,2.5859375
2020-07-29T23:21:49Z,21,32,66,33243,2.5859375
2020-07-29T23:31:54Z,21,31,66,33243,5.2265625
2020-07-29T23:42:01Z,19,24,55,29424,9.84765625
2020-07-29T23:52:08Z,12,18,43,28536,9.84765625
2020-07-30T00:02:15Z,7,11,29,28536,9.84765625
2020-07-30T00:12:22Z,5,7,19,28951,9.84765625
2020-07-30T00:22:29Z,3,4,8,28668,9.84765625
2020-07-30T00:32:36Z,3,3,5,28951,9.84765625
2020-07-30T00:42:44Z,2,2,3,29084,9.84765625
2020-07-30T00:52:51Z,2,1,2,28668,9.84765625
2020-07-30T01:02:58Z,2,1,1,28536,9.84765625
2020-07-30T01:13:05Z,2,1,1,28800,9.84765625
2020-07-30T01:23:12Z,2,1,1,28951,9.84765625
2020-07-30T01:33:19Z,2,1,1,28668,9.84765625
2020-07-30T01:43:26Z,2,1,0,28951,9.84765625
2020-07-30T01:53:33Z,2,1,0,28668,9.84765625
2020-07-30T02:03:40Z,2,1,1,28536,9.84765625
2020-07-30T02:13:47Z,2,1,2,28800,9.84765625
2020-07-30T02:23:53Z,2,2,2,28101,9.84765625
2020-07-30T02:34:00Z,2,2,4,28951,9.84765625
2020-07-30T02:44:08Z,3,3,6,29821,9.84765625
2020-07-30T02:54:14Z,5,4,9,28951,9.84765625
2020-07-30T03:04:22Z,7,7,18,28800,9.84765625
2020-07-30T03:14:29Z,12,14,34,29821,9.84765625
2020-07-30T03:24:36Z,22,28,60,29556,9.84765625
2020-07-30T03:34:42Z,33,47,93,33243,5.2265625
2020-07-30T03:44:46Z,30,43,87,33243,2.5859375
2020-07-30T03:54:50Z,47,61,112,33243,2.5859375
2020-07-30T04:04:55Z,80,97,155,33243,2.5859375
2020-07-30T04:15:00Z,120,137,191,33243,2.5859375
2020-07-30T04:25:05Z,135,155,204,33243,1.59375
2020-07-30T04:35:10Z,133,155,202,33243,1.0390625
2020-07-30T04:45:14Z,172,189,224,21881,1.0
2020-07-30T04:55:19Z,179,191,219,14320,1.0
2020-07-30T05:05:23Z,178,189,217,10766,1.0
2020-07-30T05:15:28Z,174,162,179,4301,1.97265625
2020-07-30T05:25:34Z,172,164,181,4112,1.97265625
2020-07-30T05:35:39Z,171,165,186,1900,2.0
2020-07-30T05:45:44Z,197,189,204,3507,1.0
2020-07-30T05:55:49Z,173,164,181,1730,1.98828125
2020-07-30T06:05:54Z,183,173,178,1163,1.98828125
2020-07-30T06:15:59Z,174,162,164,1919,1.0
2020-07-30T06:26:04Z,175,166,182,1238,2.01953125
2020-07-30T06:36:09Z,177,169,187,1144,2.0
2020-07-30T06:46:14Z,192,189,212,2259,1.0
2020-07-30T06:56:19Z,166,161,188,955,2.01953125
2020-07-30T07:06:24Z,192,186,208,1541,1.0
2020-07-30T07:16:29Z,168,161,184,652,2.0
2020-07-30T07:26:34Z,182,171,189,1541,1.0
2020-07-30T07:36:39Z,188,176,192,1692,1.0
2020-07-30T07:46:43Z,190,180,194,1616,1.0
2020-07-30T07:56:49Z,180,169,183,747,2.01953125
2020-07-30T08:06:53Z,186,177,194,1635,1.0
2020-07-30T08:16:57Z,180,170,184,1352,1.0
2020-07-30T08:27:02Z,185,176,189,1087,1.0
2020-07-30T08:37:06Z,188,179,191,1068,1.0
2020-07-30T08:47:10Z,179,170,183,1049,1.0
2020-07-30T08:57:15Z,184,175,188,1106,1.0
2020-07-30T09:07:20Z,189,182,192,1181,1.0
2020-07-30T09:17:25Z,174,167,177,501,2.03515625
2020-07-30T09:27:30Z,185,175,184,463,1.03125
2020-07-30T09:37:35Z,180,171,179,406,1.0
2020-07-30T09:47:39Z,174,165,177,501,1.0
2020-07-30T09:57:43Z,179,170,181,539,1.0
2020-07-30T10:07:48Z,195,187,197,425,1.015625
2020-07-30T10:17:53Z,167,159,169,520,1.0
2020-07-30T10:27:57Z,173,164,174,444,1.0
2020-07-30T10:38:02Z,192,183,193,539,1.0
2020-07-30T10:48:06Z,191,182,191,539,1.0
2020-07-30T10:58:12Z,167,157,167,274,2.1015625
2020-07-30T11:08:16Z,188,180,189,595,1.0
2020-07-30T11:18:21Z,191,182,191,482,1.01171875
2020-07-30T11:28:26Z,187,178,187,482,1.0
2020-07-30T11:38:30Z,190,182,192,614,1.0
2020-07-30T11:48:35Z,194,187,195,633,1.0
2020-07-30T11:58:40Z,194,185,194,709,1.0
