file,r,g,b,coldev,contrast,satdev
2020-07-28T22:33:46Z,57,132,163,0.6149778284584783,2.0966814545895156,1.832941269818399
2020-07-28T22:34:51Z,79,168,195,0.6286068541431593,2.5012122145247626,2.5523705463625324
2020-07-28T22:35:55Z,78,165,193,1.2133830764420337,4.862498200134176,3.6394701502691276
2020-07-28T22:37:00Z,77,164,192,0.7971613679191643,2.9276322023473345,2.0318516224275496
2020-07-28T22:38:04Z,80,169,196,0.6826634765281122,2.7249254577037836,2.087468057588143
2020-07-28T22:39:08Z,77,167,194,1.016565806483292,4.404424066535958,3.356886401045712
2020-07-28T22:40:12Z,75,163,191,1.3988674165771569,5.770284109312491,3.670341471694446
2020-07-28T22:41:17Z,75,161,189,1.698623183433123,6.91597052117957,4.404350766148687
2020-07-28T22:42:21Z,73,157,186,0.6497343588502904,2.3606106017894612,1.82814407914429
2020-07-28T22:43:25Z,83,173,200,0.7388918432329927,2.526607193482166,3.1306883928828166
2020-07-28T22:44:29Z,84,173,200,0.8052077478845813,3.2346848686747083,3.6083399036622765
2020-07-28T22:45:34Z,79,165,193,0.9288048233710289,3.9172438161514704,2.924766819683577
2020-07-28T22:46:38Z,77,163,191,0.9775834732133196,4.110527601115241,3.1334194140691727
2020-07-28T22:47:42Z,79,165,193,0.9180591734309367,3.8448215480542625,2.8298014237836737
2020-07-28T22:48:46Z,78,165,192,1.1019827604738976,4.713759659021469,3.6611091581658677
2020-07-28T22:49:51Z,77,162,191,0.6962471327139139,2.8423190134892424,2.266248920007157
2020-07-28T22:50:55Z,77,162,191,0.6463366101571388,2.2971376629003517,2.3693912668732846
2020-07-28T22:51:59Z,82,169,197,1.0663182867972743,3.481466610599312,4.461924319050748
2020-07-28T22:53:04Z,84,173,200,0.7871734288391563,2.764625052028398,3.3709113579149075
2020-07-28T22:54:08Z,82,171,199,0.9128340753153453,3.465612367108651,3.186642128917092
2020-07-28T22:55:13Z,76,162,192,1.4355737709682177,5.252914062740938,3.7013180803615224
2020-07-28T22:56:17Z,77,163,193,0.9329592726477957,3.39004107377192,2.4288042812762094
2020-07-28T22:57:21Z,81,167,196,1.0875429635548597,3.95017805411152,3.586513128429826
2020-07-28T22:58:25Z,77,160,190,0.6591524963153751,2.517715814124808,1.9800392535487483
2020-07-28T22:59:30Z,81,165,194,0.6364607662084695,2.1348670974825747,2.0832122249648664
2020-07-28T23:00:34Z,84,167,195,0.762353148618635,2.7438888847069145,3.0155194608360176
2020-07-28T23:01:38Z,83,167,195,0.6619579200035661,2.5747954584315917,2.372821852384746
2020-07-28T23:02:42Z,82,165,193,0.9350096917039097,3.6858578903754013,3.1014240042947563
